Local;L Local en (m);surface en (m²);D en (m);H en (m);Amax en (m);Coef K de Local;Am en m2;Type de detecteur à prévo;L/2D;S/An;nbre de detecteurs à prévo
RANGEMENT DISPOSITIFS;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECRETARIAT ARCHIVES ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RECEPTION ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PREPARATION MEDICAMENTS;4,8;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RANGEMENT MEDICAMENT ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU PHARMACIEN ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MAJOR ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR ;9,8;12,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
DECHETS DIVERS ;3,3;5;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
DECHETS DIVERS ;3,3;5;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
DECHETS DIVERS ;3,3;5;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
SAS;6,2;7;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;6,4;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECHAGE;3;4;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LAVAGE;3;4;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
DEPART LINGE ;5;7;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU ;3;4;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;5;4,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
STOCKAGE COUURE ;5;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SAS;3;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ATELIER GENERAL ;3,7;6;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
ATELIER PLAMB;2,7;6;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
ATELIER ELECTRIQUE ;2,9;6;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
BUREAU INGENIERU ;3,6;6;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
BUREAU RESPONSABLE ;3,6;6;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
SAS ;4,4;5,3;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ZONE DE RECEPTION ;6,3;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
MAGASIN;8,7;38;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
PREPARATION COMMANDES ;5;9;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
AUTOPISTE;6,4;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PREPARATION CORPS;7,5;21;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
HALL;3,5;4,7;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR ;28;78;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;3;1;3
CPD;10,78;46;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ARCHIVE;5,61;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ARCHIVE;5,61;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,44;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
STOCKAGE;5,54;12,5;6,7; ;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;9,91;25;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
ESCALIER;5,67;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONTRÔLE INFIRMIER;6,97;23;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;15,21;38;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;17,9;45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
COULOIR;6,2;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,9;26,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;6,3;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;17,9;45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
COULOIR;6,2;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,9;26,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;6,3;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;17,9;45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
COULOIR;6,2;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,9;26,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;6,3;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;17,9;45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
COULOIR;6,2;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,9;26,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;6,3;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBR DOUBLE;6,95;21,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;17,9;45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
COULOIR;6,2;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,9;26,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;6,3;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE INDIVIDUELE;5,31;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ESCALIER;5;9;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ARCHIVE;3,65;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECRET ACCUEIL;4,47;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUR MAJOR;6,29;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PHARM;3,36;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PREPA SOINS;5,47;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
POSTE INFERMIER ;5,47;16;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
OFFICE;6,77;22;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR ;44,77;118;5,8;h<6;60;1;60;DETECTEUR OPTIQUE DE FUMEE;4;2;4
ARCHIVES ;3,72;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECRET ACCUEIL ;4,7;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PHAR;3,45;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUR MAJOR;6,3;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
POSTE INFERMIER ;5,42;16;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
OFFICE;6,2;19;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ESCALIER;5;9;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
INFIRMIREES NURSERUE;6,7;22;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
NURSERIE;6,9;22;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;44,9;109;5,8;h<6;60;1;60;DETECTEUR OPTIQUE DE FUMEE;4;2;4
CONSEIL ADMINSTR;8,67;33;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU PAYSAGER;4,6;9,8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
OFFICE;4,6;9,94;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ATTENTE;4,4;7,45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;12,61;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU DIRECTEUR ADJOINT;9,5;39;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU DIRECTEUR;9,5;39;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECRETARIAT;4,8;11,1;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE REUNIONS;7,6;29;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,5;16;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
HALL;25;297;5,8;h<6;60;2;120;DETECTEUR OPTIQUE DE FUMEE;3;3;3
